hour,latitude,longitude,depth,dissolved_oxygen,salinity,temperature
2022-09-03 20:00:00+00:00,45.65553385,-62.50089085,1.25,125.05454545454545,29.160000000000004,22.424799999999998
2022-09-03 21:00:00+00:00,45.65598009090909,-62.50216427272728,1.1818181818181819,119.85833333333333,29.233333333333334,22.45027272727273
2022-09-03 22:00:00+00:00,45.65598009090909,-62.50216427272728,1.1818181818181819,112.39166666666667,29.233333333333334,22.28518181818182
2022-09-03 23:00:00+00:00,45.6555354,-62.50089330000001,1.25,108.0,29.25,22.1639
2022-09-04 00:00:00+00:00,45.65598009090909,-62.50216427272728,1.1818181818181819,116.34166666666665,29.25,21.976954545454547
2022-09-04 01:00:00+00:00,45.65598009090909,-62.50216427272728,1.1818181818181819,113.21666666666665,29.266666666666666,21.71127272727273
2022-09-04 02:00:00+00:00,45.65598009090909,-62.50216427272728,1.1818181818181819,110.16666666666667,29.21666666666667,21.4255
2022-09-04 03:00:00+00:00,45.65598009090909,-62.50216427272728,1.1818181818181819,107.55833333333334,29.233333333333334,21.101727272727274
2022-09-04 04:00:00+00:00,45.65598009090909,-62.50216427272728,1.1818181818181819,106.38333333333333,29.3,20.742272727272727
2022-09-04 05:00:00+00:00,45.65598009090909,-62.50216427272728,1.1818181818181819,105.20833333333333,29.3,20.620863636363637
2022-09-04 06:00:00+00:00,45.65598009090909,-62.50216427272728,1.1818181818181819,100.93333333333334,29.316666666666666,20.538954545454544
2022-09-04 07:00:00+00:00,45.65598009090909,-62.50216427272728,1.1818181818181819,92.425,29.316666666666666,20.408590909090908
2022-09-04 08:00:00+00:00,45.65598009090909,-62.50216427272728,1.1818181818181819,95.64166666666667,29.316666666666666,20.467954545454546
2022-09-04 09:00:00+00:00,45.65598009090909,-62.50216427272728,1.1818181818181819,103.06666666666666,29.3,20.548363636363636
2022-09-04 10:00:00+00:00,45.65598009090909,-62.50216427272728,1.1818181818181819,108.10833333333333,29.266666666666666,20.505272727272725
2022-09-04 11:00:00+00:00,45.65598009090909,-62.50216427272728,1.1818181818181819,114.09166666666665,29.166666666666668,20.571772727272727
2022-09-04 12:00:00+00:00,45.65598009090909,-62.50216427272728,1.1818181818181819,113.79166666666667,29.11666666666667,20.54459090909091
2022-09-04 13:00:00+00:00,45.65598009090909,-62.50216427272728,1.1818181818181819,116.31666666666666,29.166666666666668,20.96831818181818
2022-09-04 14:00:00+00:00,45.65598009090909,-62.50216427272728,1.1818181818181819,123.5,29.28333333333333,21.988500000000002
2022-09-04 15:00:00+00:00,45.655277947368425,-62.500157473684204,1.2894736842105263,120.73333333333332,29.3,22.984947368421054
2022-09-04 16:00:00+00:00,45.654312499999996,-62.497398125000004,1.4375,109.25,29.266666666666666,23.2433125
2022-09-04 17:00:00+00:00,45.654312499999996,-62.497398125000004,1.4375,106.86666666666667,29.033333333333335,22.488875
2022-09-04 18:00:00+00:00,45.654312499999996,-62.497398125000004,1.4375,110.25,29.083333333333332,22.1015625
2022-09-04 19:00:00+00:00,45.654312499999996,-62.497398125000004,1.4375,112.16666666666667,29.116666666666664,22.027875
